iter	Passed	Remaining
754	2606	845
755	2607	841
756	2608	837
757	2609	833
758	2610	828
759	2615	825
760	2616	821
761	2617	817
762	2617	813
763	2618	808
764	2619	804
765	2621	800
766	2622	796
767	2622	792
768	2623	788
769	2624	783
770	2625	779
771	2630	776
772	2631	772
773	2632	768
774	2633	764
775	2634	760
776	2635	756
777	2636	752
778	2637	748
779	2638	744
780	2639	740
781	2640	736
782	2644	732
783	2644	728
784	2645	724
785	2646	720
786	2647	716
787	2648	712
788	2649	708
789	2650	704
790	2651	700
791	2652	696
792	2653	692
793	2654	688
794	2655	684
795	2658	681
796	2660	677
797	2661	673
798	2662	669
799	2663	665
800	2664	661
801	2665	657
802	2665	654
803	2666	650
804	2667	646
805	2668	642
806	2669	638
807	2670	634
808	2674	631
809	2675	627
810	2676	623
811	2677	619
812	2678	616
813	2679	612
814	2680	608
815	2681	604
816	2682	600
817	2683	597
818	2684	593
819	2688	590
820	2690	586
821	2691	582
822	2692	579
823	2693	575
824	2694	571
825	2695	567
826	2697	564
827	2698	560
828	2699	556
829	2705	554
830	2706	550
831	2708	546
832	2709	543
833	2710	539
834	2711	535
835	2712	532
836	2713	528
837	2714	524
838	2715	521
839	2720	518
840	2722	514
841	2722	510
842	2723	507
843	2724	503
844	2725	499
845	2726	496
846	2727	492
847	2728	489
848	2729	485
849	2730	481
850	2734	478
851	2735	475
852	2736	471
853	2737	467
854	2738	464
855	2739	460
856	2740	457
857	2741	453
858	2742	450
859	2743	446
860	2744	443
861	2745	439
862	2747	436
863	2748	432
864	2749	429
865	2750	425
866	2751	422
867	2752	418
868	2753	415
869	2754	411
870	2755	408
871	2756	404
872	2757	401
873	2758	397
874	2759	394
875	2762	391
876	2764	387
877	2765	384
878	2766	380
879	2767	377
880	2768	373
881	2768	370
882	2769	367
883	2770	363
884	2771	360
885	2772	356
886	2773	353
887	2777	350
888	2779	347
889	2780	343
890	2781	340
891	2782	336
892	2783	333
893	2784	330
894	2785	326
895	2786	323
896	2786	320
897	2787	316
898	2788	313
899	2792	310
900	2793	306
901	2794	303
902	2795	300
903	2796	297
904	2798	293
905	2799	290
906	2801	287
907	2802	283
908	2803	280
909	2804	277
910	2807	274
911	2808	270
912	2809	267
913	2810	264
914	2811	261
915	2812	257
916	2813	254
917	2814	251
918	2814	248
919	2816	244
920	2817	241
921	2818	238
922	2819	235
923	2820	231
924	2821	228
925	2822	225
926	2823	222
927	2824	219
928	2825	215
929	2826	212
930	2827	209
931	2828	206
932	2829	203
933	2830	200
934	2831	196
935	2833	193
936	2834	190
937	2835	187
938	2836	184
939	2837	181
940	2838	177
941	2839	174
942	2840	171
943	2841	168
944	2845	165
945	2846	162
946	2847	159
947	2848	156
948	2848	153
949	2849	149
950	2850	146
951	2851	143
952	2853	140
953	2854	137
954	2855	134
955	2856	131
956	2860	128
957	2861	125
958	2862	122
959	2863	119
960	2864	116
961	2865	113
962	2866	110
963	2867	107
964	2868	104
965	2869	100
966	2870	97
967	2870	94
968	2874	91
969	2875	88
970	2877	85
971	2878	82
972	2880	79
973	2881	76
974	2882	73
975	2884	70
976	2885	67
977	2885	64
978	2890	62
979	2892	59
980	2893	56
981	2894	53
982	2894	50
983	2895	47
984	2896	44
985	2897	41
986	2898	38
987	2899	35
988	2900	32
989	2901	29
990	2903	26
991	2904	23
992	2905	20
993	2906	17
994	2907	14
995	2908	11
996	2909	8
997	2909	5
998	2910	2
999	2911	0
